Date,Open,High,Low,Close,Adj Close,Volume
2016-02-24,93.98,96.38,93.32,96.1,90.91,36255700
2016-02-25,96.05,96.76,95.25,96.76,91.53,27582700
2016-02-26,97.2,98.02,96.58,96.91,91.67,28991100
2016-02-29,96.86,98.23,96.65,96.69,91.46,35216300
2016-03-01,97.65,100.77,97.42,100.53,95.1,50407100
2016-03-02,100.51,100.89,99.64,100.75,95.3,33169600
2016-03-03,100.58,101.71,100.45,101.5,96.01,36955700
2016-03-04,102.37,103.75,101.37,103.01,97.44,46055100
2016-03-07,102.39,102.83,100.96,101.87,96.36,35828900
2016-03-08,100.78,101.76,100.4,101.03,95.57,31561900
2016-03-09,101.31,101.58,100.27,101.12,95.65,27201700
2016-03-10,101.41,102.24,100.15,101.17,95.7,33513600
2016-03-11,102.24,102.28,101.5,102.26,96.73,27408200
2016-03-14,101.91,102.91,101.78,102.52,96.98,25076100
2016-03-15,103.96,105.18,103.85,104.58,98.93,40067700
2016-03-16,104.61,106.31,104.59,105.97,100.24,38303500
2016-03-17,105.52,106.47,104.96,105.8,100.08,34420700
2016-03-18,106.34,106.5,105.19,105.92,100.19,44205200
2016-03-21,105.93,107.65,105.14,105.91,100.18,35502700
2016-03-22,105.25,107.29,105.21,106.72,100.95,32444400
2016-03-23,106.48,107.07,105.9,106.13,100.39,25703500
2016-03-24,105.47,106.25,104.89,105.67,99.96,26133000
2016-03-28,106.0,106.19,105.06,105.19,99.5,19411400
2016-03-29,104.89,107.79,104.88,107.68,101.86,31190100
2016-03-30,108.65,110.42,108.6,109.56,103.64,45601100
2016-03-31,109.72,109.9,108.88,108.99,103.1,25888400
2016-04-01,108.78,110.0,108.2,109.99,104.04,25874000
2016-04-04,110.42,112.19,110.27,111.12,105.11,37356200
2016-04-05,109.51,110.73,109.42,109.81,103.87,26578700
2016-04-06,110.23,110.98,109.2,110.96,104.96,26404100
2016-04-07,109.95,110.42,108.12,108.54,102.67,31801900
2016-04-08,108.91,109.77,108.17,108.66,102.79,23581700
2016-04-11,108.97,110.61,108.83,109.02,103.13,29407500
2016-04-12,109.34,110.5,108.66,110.44,104.47,27232300
2016-04-13,110.8,112.34,110.8,112.04,105.98,33257300
2016-04-14,111.62,112.39,111.33,112.1,106.04,25473900
2016-04-15,112.11,112.3,109.73,109.85,103.91,46939000
2016-04-18,108.89,108.95,106.94,107.48,101.67,60834000
2016-04-19,107.88,108.0,106.23,106.91,101.13,32384900
2016-04-20,106.64,108.09,106.06,107.13,101.34,30611000
2016-04-21,106.93,106.93,105.52,105.97,100.24,31552500
2016-04-22,105.01,106.48,104.62,105.68,99.97,33683100
2016-04-25,105.0,105.65,104.51,105.08,99.4,28031600
2016-04-26,103.91,105.3,103.91,104.35,98.71,56016200
2016-04-27,96.0,98.71,95.68,97.82,92.53,114602100
2016-04-28,97.61,97.88,94.25,94.83,89.7,82242700
2016-04-29,93.99,94.72,92.51,93.74,88.67,68531500
2016-05-02,93.97,94.08,92.4,93.64,88.58,48160100
2016-05-03,94.2,95.74,93.68,95.18,90.03,56831300
2016-05-04,95.2,95.9,93.82,94.19,89.1,41025500
2016-05-05,94.0,94.07,92.68,93.24,88.74,35890500
2016-05-06,93.37,93.45,91.85,92.72,88.24,43458200
2016-05-09,93.0,93.77,92.59,92.79,88.31,32936400
2016-05-10,93.33,93.57,92.11,93.42,88.91,33686800
2016-05-11,93.48,93.57,92.46,92.51,88.04,28719100
2016-05-12,92.72,92.78,89.47,90.34,85.98,76314700
2016-05-13,90.0,91.67,90.0,90.52,86.15,44392800
2016-05-16,92.39,94.39,91.65,93.88,89.35,61259800
2016-05-17,94.55,94.7,93.01,93.49,88.97,46916900
2016-05-18,94.16,95.21,93.89,94.56,89.99,42062400
2016-05-19,94.64,94.64,93.57,94.2,89.65,30442100
2016-05-20,94.64,95.43,94.52,95.22,90.62,32026000
2016-05-23,95.87,97.19,95.67,96.43,91.77,38018600
2016-05-24,97.22,98.09,96.84,97.9,93.17,35140200
2016-05-25,98.67,99.74,98.11,99.62,94.81,38168800
